text,lang,user-location,place-country,place-country_code,location-coordinates,user-screen_name,created_at,quote_count,reply_count,retweet_count,retweeted,is_retweet,is_quote_status,
Which Crypto Exchange do you use the most? Please Vote and Retweet! #crypto #cryptocurrency #exchange #bitcoin #btc #ethereum #litecoin #monero #iota #miota #verge #tron #cardano #bitcoincash #bitfinex #bittrex #binance #gdax #money #ripple #xrp #nem #neo #eos #dash #stellar #ico,en,"London, England",,,,CryptoInvest18,Wed Dec 27 16:04:11 +0000 2017,0,0,1,False,0,False,
"Cardano Price Analysis - Promising lofty goals $ADA #Altcoins #CryptoCurrencies 

https://t.co/hr8Z6eNl4Z",en,"Sydney, New South Wales",,,,blockchain247,Wed Dec 27 15:58:59 +0000 2017,0,0,0,False,0,False,
(https://t.co/k7wtigMu00) #BTC : Investment in cardano returns double the yield of bitcoin,en,"London, England",,,,_cryptoTrend_,Wed Dec 27 15:04:57 +0000 2017,0,0,0,False,0,False,
Trading Ideas: bullish flag forming $ADA #cardano https://t.co/mSDJc5EvxB https://t.co/XJDqgoszV6,en,,,,,AlertTrade,Wed Dec 27 14:45:16 +0000 2017,0,0,0,False,0,False,
This one will rise 💲📈 #cardano #ada https://t.co/Gsoz0F1ifr,en,"Calgary, Alberta",,,,news_altcoins,Wed Dec 27 14:21:41 +0000 2017,0,0,0,False,0,False,
How to explain Cardano to people new to cryptocurrency. #Crypto #CryptoCurrencies #cryptocurrency #bitcoin #ethereum #ether #bitcoincash #CardanoCoin #Cardano #xvg #XRP #Ripple https://t.co/QzxamelkSA,en,"London, England",,,,senanlee,Wed Dec 27 13:24:46 +0000 2017,0,1,1,False,0,False,
Invested into my first crypto... are cryptos the future currencies? #trading #investing #forex #crypto #ada #cardano #wealth https://t.co/sU6LQlGI5A,en,"North West, England",,,,EXFTrading,Wed Dec 27 11:28:24 +0000 2017,0,0,0,False,0,False,
Cardano Price Analysis - Promising lofty goals https://t.co/cnDTxQtUql,en,,,,,KrilBot,Wed Dec 27 05:17:11 +0000 2017,0,0,0,False,0,False,
(https://t.co/k7wtiguSBq) #BTC : Investment in cardano returns double the yield of bitcoin,en,"London, England",,,,_cryptoTrend_,Wed Dec 27 04:05:35 +0000 2017,0,0,0,False,0,False,
Cardano Price Analysis - Promising lofty goals https://t.co/KhEar1Kgjk https://t.co/aT6cOb8op1,en,Australia,,,,TheSatoshiGoat,Wed Dec 27 03:25:03 +0000 2017,0,0,0,False,0,False,
The Coin of 2018? Please Vote and Re-tweet! #crypto #cryptocurrency #ripple #iota #miota #xrp #verge #tron #xvg #trx #litecoin #bitcoin #bitcoincash #ethereum #ether #tether #lisk #altcoins #stellar #qtum #icon #privacy #ardor #cardano #ada #dash #Zcash #monero #neo #eos #ico,en,"London, England",,,,CryptoInvest18,Wed Dec 27 02:44:30 +0000 2017,2,8,8,False,0,False,
(https://t.co/k7wtigMu00) #BTC : Investment in cardano returns double the yield of bitcoin,en,"London, England",,,,_cryptoTrend_,Wed Dec 27 02:05:55 +0000 2017,0,0,0,False,0,False,
Buying more #Cardano $ADA and #ZCoin Today.,en,"Toronto, Ontario",,,,CryptoLivin,Tue Dec 26 22:46:25 +0000 2017,0,0,0,False,0,False,
"""Last week, #Bitcoin lost one third of its value in a single day before rebounding. Other #Cryptocurrencies lost even more in successive avalanches capping days of #Volatility."" #Altcoins #Ethereum #BitcoinCash #BCH #BCC #Ripple #Litecoin #Cardano #IOTA #Dash #Nem #AltCurrency https://t.co/Lak4aPxPvW",en,"London, England",,,,ResiluxC,Tue Dec 26 22:32:44 +0000 2017,0,0,1,False,0,True,
"""The collapse of Long Term Capital Management in 1998 was a much smaller event and collapse of Lehman Brothers in 2008 was a comparable event in magnitude.""

#Ethereum #BitcoinCash #BCH #BCC #Ripple #Litecoin #Cardano #IOTA #Dash #Nem #AltCoins #AltCurrency #Forex #Dollar #Yen https://t.co/n2lDLyHYZ6",en,London,,,,ATCAOpen,Tue Dec 26 21:57:35 +0000 2017,0,0,0,False,0,True,
"""If the ""#Crypto Nuclear Winter"" wipes out around $600 billion in market cap of #Bitcoin and other #Cryptocurrencies in 2018 will contagion spread to global financial markets?""

#Ethereum #BitcoinCash #BCH #BCC #Ripple #Litecoin #Cardano #IOTA #Dash #Nem #AltCoins #AltCurrency https://t.co/VBd7Oh38QP",en,London,,,,intunit,Tue Dec 26 21:47:06 +0000 2017,0,0,0,False,0,True,
"I love these guys, https://t.co/Z4LFoergBP   #xrp #xrpconnect #XVG  #VergeCoin  #BCC #BTC #Cardano #ADA",en,United States,,,,Invested505,Tue Dec 26 18:51:19 +0000 2017,0,0,0,False,0,False,
