,lang,user-location,place-country,place-country_code,location-coordinates,user-screen_name,created_at,quote_count,reply_count,retweet_count,retweeted,is_retweet,is_quote_status,Unnamed: 14,text
359,en,TORONTO & MIAMI,,,,PamperJodi,Thu Dec 21 22:32:10 +0000 2017,0,0,0,False,0,False,,enable business accept 90 # crytocurrency altcoins . reduce credit card fees 2.5 % @ matrixthinker # peercoin # cryptocurrency # bitcoin # bitconnect # bitbean # blackcoin # litecoin # dash # etherclassic # dogecoin # ether # neo https : //t.co/ez49tvbrdh https : //t.co/8d05ih30qn
360,en,"Toronto, Ontario",,,,socialroyalties,Thu Dec 21 22:32:08 +0000 2017,0,0,0,False,0,False,,enable business accept 90 # crytocurrency altcoins . reduce credit card fees 2.5 % @ matrixthinker # peercoin # cryptocurrency # bitcoin # bitconnect # bitbean # blackcoin # litecoin # dash # etherclassic # dogecoin # ether # neo https : //t.co/dshhwyn62f https : //t.co/icqqe8f3qa
361,en,"England, United Kingdom",,,,puremarketing1,Thu Dec 21 22:27:49 +0000 2017,1,1,3,False,0,False,,"# omisego mcdonald-omg project could see omisego token $ 100 first months 2018 . 600 % gains # exchange # bitcoin # altcoins # ethereum , # iota , # litecoin , # ripple , # dash , # monero , # , # cardano , # eos , # bitconnect , # waves , # stratis , # qtum , # lisk , # zcash ,"
362,en,APAC,,,,seandotau,Thu Dec 21 21:04:18 +0000 2017,0,0,0,False,0,False,,# ethereum # japan world ’ sixth largest # digitalcurrency https : //t.co/duxvd7qs8x # cardano @ lingyau88 @ qbmayu
363,en,Planet Earth,,,,martin_mcneil,Thu Dec 21 19:29:45 +0000 2017,0,0,0,False,0,False,,"singing voice ... .you know dash ripple litecoin ether ... stellar , neo cardano recall famous crypto ... . bitcoin # 1 crypto ... .."
364,en,"London, England",,,,davidbrear,Thu Dec 21 16:40:58 +0000 2017,0,1,1,False,0,False,,"listening blockchain insider 11 : fs ( ep . 25. keanu reeves bitcoin , vanguard blockchain cardano ) https : //t.co/mzq600zsn4"
365,en,"London, England",,,,PersonalYogaLDN,Thu Dec 21 16:31:00 +0000 2017,0,0,0,False,0,False,,"ep . 25. keanu reeves bitcoin , vanguard blockchain cardano - g-sass back france week n't stop joining simon week 's installment news show . first week , guys explore implications compe ... https : //t.co/h4wgidspmy"
366,en,Victoria BC Canada,,,,3PennyMovies,Thu Dec 21 16:05:35 +0000 2017,0,0,1,False,0,False,,“ book life ” https : //t.co/vmyxkd2snm girolamo cardano “ father lawyer milan expertise mathematics consulted # leonardodavinci questions geometry. ” https : //t.co/o80xetq1bg
367,en,"Montreal, Quebec",,,,dKhtv,Thu Dec 21 15:46:15 +0000 2017,0,0,1,False,0,False,,big investors going . nothing worry . # ripple $ xrp # litecoin # bitcoin # ethereum # xrp # ltc # btc # eth $ ltc $ eth $ btc $ bth $ xrp $ xrpusd $ qtm $ qtum # ripple # cryptocurrencies # ripple # ico # bitcoincash $ bch $ xbr # crypto # cardano # coin
368,en,"Montreal, Quebec",,,,dKhtv,Thu Dec 21 13:28:23 +0000 2017,0,2,0,False,0,False,,"today 's announcement decisive ripple , may expect huge increase crash . # litecoin # bitcoin # ethereum # xrp # ltc # btc # eth $ ltc $ eth $ btc $ bth $ xrp $ xrpusd $ qtm $ qtum # ripple # cryptocurrencies # ripple # ico # bitcoincash $ bch $ xbr # crypto # cardano # coin"
369,en,,,,,digidels,Thu Dec 21 13:25:40 +0000 2017,0,0,0,False,0,False,,'m sure heard cardano ( ) - 'the ethereum killer ' . 's video 've put together set wallet . https : //t.co/jgz9gzjgub buy ( 1ada currently $ 0.50 ) - https : //t.co/u2owyjfsj7
370,en,"Vancouver, British Columbia",,,,brennanhm,Thu Dec 21 10:18:14 +0000 2017,0,0,0,False,0,False,,enjoying # cardano meetup osaka # https : //t.co/2qdboxbla5
371,en,"Sydney, New South Wales",,,,RetraVisionRV,Thu Dec 21 10:15:58 +0000 2017,0,0,0,False,0,False,,closing triangle - ghost projection - adabtc tradingview https : //t.co/71rqtu57hv https : //t.co/orp7eqgshf - trade cardano binance . # cardano $ $ btc # crypto # bitcoin
372,en,gbp,,,,tlobp,Thu Dec 21 06:24:13 +0000 2017,0,0,0,False,0,False,,invest crypto - ripple cardano
